texto_canonico,estructura_linguistica,referente_principal,dominios_semanticos,elementos_secundarios,componentes_patron,patron_reutilizable,operacion_humoristica_principal,mecanismo_humoristico,marco_discursivo,nivel_visual,nivel_absurdo,usa_referencia_cultural,habilitado_generacion,motivo_no_generativo
clark kane gay,sustantivo + sustantivo + adjetivo,PERSONA,ATRIBUTO_PERSONAL_SENSIBLE; PERSONA,clark; kane; gay,PERSONA; PERSONA; ATRIBUTO_PERSONAL_SENSIBLE,[PERSONA] + [PERSONA] + [ATRIBUTO_PERSONAL_SENSIBLE],REFERENCIAR,referencia_popular,NINGUNO,2,2,True,False,"La construcción depende directamente de un atributo personal sensible (orientación sexual) usado como insulto (categoría ATRIBUTO_PERSONAL_SENSIBLE, exclusivamente descriptiva). Se conserva el texto original intacto en el corpus descriptivo, pero nunca se habilita como componente reutilizable para generación automática."
barbie de la huerta perdida,sustantivo + preposición + artículo + sustantivo,PERSONAJE_POPULAR,LUGAR; PERSONAJE_POPULAR,barbie; huerta; perdida,PERSONAJE_POPULAR; LUGAR,[PERSONAJE_POPULAR] + de + [LUGAR],REFERENCIAR,referencia_popular,NINGUNO,3,3,True,True,
barrabás de ambiente,sustantivo + preposición + sustantivo,PERSONA,EXPRESION_COLOQUIAL; PERSONA,barrabás; ambiente,PERSONA; EXPRESION_COLOQUIAL,[PERSONA] + de + [EXPRESION_COLOQUIAL],REFERENCIAR,referencia_popular,NINGUNO,2,2,False,True,
mi querido pezón con orejas,pronombre + adjetivo + sustantivo + preposición + sustantivo,PARTE_CUERPO,PARTE_CUERPO,mi; querido; pezón; orejas,PARTE_CUERPO; PARTE_CUERPO,[PARTE_CUERPO] + con + [PARTE_CUERPO],COMPONER_CON_NEXO_CON,combinacion_absurda,MI_QUERIDO,4,5,False,True,
serpiente cobra ciega,sustantivo + sustantivo + adjetivo,ANIMAL,ANIMAL; RASGO_APARIENCIA,serpiente; cobra; ciega,ANIMAL; ANIMAL; RASGO_APARIENCIA,[ANIMAL] + [ANIMAL] + [RASGO_APARIENCIA],HIBRIDAR_MISMO_DOMINIO,combinacion_absurda,NINGUNO,3,4,False,True,
sirena del rio ucayali,sustantivo + preposición + artículo + sustantivo + nombre propio,PERSONAJE_MITICO,LUGAR; PERSONAJE_MITICO,sirena; rio; ucayali,PERSONAJE_MITICO; LUGAR,[PERSONAJE_MITICO] + del + [LUGAR],LOCALIZAR,asociacion_geografica,NINGUNO,3,2,True,True,
anchoveta china,sustantivo + adjetivo,ALIMENTO,ALIMENTO; NACIONALIDAD_ORIGEN,anchoveta; china,ALIMENTO; NACIONALIDAD_ORIGEN,[ALIMENTO] + [NACIONALIDAD_ORIGEN],COMPARAR,asociacion_alimento_persona,NINGUNO,2,2,False,True,
miss universo de japón,sustantivo + sustantivo + preposición + sustantivo,PERSONA,NACIONALIDAD_ORIGEN; PERSONA,miss; universo; japón,PERSONA; PERSONA; NACIONALIDAD_ORIGEN,[PERSONA] + [PERSONA] + de + [NACIONALIDAD_ORIGEN],REFERENCIAR,referencia_popular,NINGUNO,3,2,True,True,
barrbás ayacuchano,sustantivo + adjetivo,PERSONA,NACIONALIDAD_ORIGEN; PERSONA,barrbás; ayacuchano,PERSONA; NACIONALIDAD_ORIGEN,[PERSONA] + [NACIONALIDAD_ORIGEN],LOCALIZAR,asociacion_geografica,NINGUNO,2,2,False,True,
chirimoya blanca,sustantivo + adjetivo,ALIMENTO,ALIMENTO; RASGO_APARIENCIA,chirimoya; blanca,ALIMENTO; RASGO_APARIENCIA,[ALIMENTO] + [RASGO_APARIENCIA],YUXTAPONER_DIRECTO_SIN_NEXO,combinacion_absurda,NINGUNO,2,3,False,True,
clark kent de papas de junín,sustantivo + sustantivo + preposición + sustantivo + preposición + nombre propio,PERSONA,ALIMENTO; GEOGRAFIA; PERSONA,clark kent; papas; junín,PERSONA; ALIMENTO; GEOGRAFIA,[PERSONA] + de + [ALIMENTO] + de + [GEOGRAFIA],REFERENCIAR,referencia_popular; asociacion_alimento_persona,NINGUNO,3,3,True,True,
pezón con piernas,sustantivo + preposición + sustantivo,PARTE_CUERPO,PARTE_CUERPO,pezón; piernas,PARTE_CUERPO; PARTE_CUERPO,[PARTE_CUERPO] + con + [PARTE_CUERPO],COMPONER_CON_NEXO_CON,combinacion_absurda,NINGUNO,4,4,False,True,
vaso con brazos,sustantivo + preposición + sustantivo,OBJETO,OBJETO; PARTE_CUERPO,vaso; brazos,OBJETO; PARTE_CUERPO,[OBJETO] + con + [PARTE_CUERPO],COMPONER_CON_NEXO_CON,combinacion_absurda,NINGUNO,4,4,False,True,
zapatilla con ojos,sustantivo + preposición + sustantivo,OBJETO,OBJETO; PARTE_CUERPO,zapatilla; ojos,OBJETO; PARTE_CUERPO,[OBJETO] + con + [PARTE_CUERPO],COMPONER_CON_NEXO_CON,combinacion_absurda,NINGUNO,4,4,False,True,
aborto de murciélago,sustantivo + preposición + sustantivo,MATERIAL_SUSTANCIA,ANIMAL; MATERIAL_SUSTANCIA,aborto; murciélago,MATERIAL_SUSTANCIA; ANIMAL,[MATERIAL_SUSTANCIA] + de + [ANIMAL],ENCADENAR_CON_DE,combinacion_absurda,NINGUNO,5,5,False,True,
pingüina gorda,sustantivo + adjetivo,ANIMAL,ANIMAL; RASGO_APARIENCIA,pingüina; gorda,ANIMAL; RASGO_APARIENCIA,[ANIMAL] + [RASGO_APARIENCIA],ANIMALIZAR,asociacion_animal_persona,NINGUNO,2,2,False,True,
senora lobo de mar gringa,sustantivo + sustantivo + preposición + sustantivo + adjetivo,PERSONA,LUGAR; NACIONALIDAD_ORIGEN; PERSONA; PERSONAJE_POPULAR,senora; lobo; mar; gringa,PERSONA; PERSONAJE_POPULAR; LUGAR; NACIONALIDAD_ORIGEN,[PERSONA] + [PERSONAJE_POPULAR] + de + [LUGAR] + [NACIONALIDAD_ORIGEN],REFERENCIAR,referencia_popular; asociacion_animal_persona,NINGUNO,3,3,True,True,
garrapata cabra,sustantivo + sustantivo,ANIMAL,ANIMAL,garrapata; cabra,ANIMAL; ANIMAL,[ANIMAL] + [ANIMAL],HIBRIDAR_MISMO_DOMINIO,combinacion_absurda,NINGUNO,3,3,False,True,
abuelita de katanas,sustantivo + preposición + sustantivo,PERSONA,OBJETO; PERSONA,abuelita; katanas,PERSONA; OBJETO,[PERSONA] + de + [OBJETO],ENCADENAR_CON_DE,combinacion_absurda,NINGUNO,4,4,False,True,
panetón quemado,sustantivo + adjetivo,ALIMENTO,ALIMENTO; RASGO_APARIENCIA,panetón; quemado,ALIMENTO; RASGO_APARIENCIA,[ALIMENTO] + [RASGO_APARIENCIA],DEFORMAR,deformacion_lexica,NINGUNO,2,2,False,True,
espantapájaro basurante,sustantivo + adjetivo,PERSONA,PALABRA_DEFORMADA_DUDOSA; PERSONA,espantapájaro; basurante,PERSONA; PALABRA_DEFORMADA_DUDOSA,[PERSONA] + [PALABRA_DEFORMADA_DUDOSA],ANIMALIZAR,asociacion_animal_persona,NINGUNO,3,2,False,True,
semilla de lenteja,sustantivo + preposición + sustantivo,ALIMENTO,ALIMENTO,semilla; lenteja,ALIMENTO; ALIMENTO,[ALIMENTO] + de + [ALIMENTO],HIBRIDAR_MISMO_DOMINIO,combinacion_absurda,NINGUNO,2,3,False,True,
espalda de espina de pejerrey,sustantivo + preposición + sustantivo + preposición + sustantivo,PARTE_CUERPO,ANIMAL; MATERIAL_SUSTANCIA; PARTE_CUERPO,espalda; espina; pejerrey,PARTE_CUERPO; MATERIAL_SUSTANCIA; ANIMAL,[PARTE_CUERPO] + de + [MATERIAL_SUSTANCIA] + de + [ANIMAL],LOCALIZAR,asociacion_animal_persona,NINGUNO,3,4,False,True,
lagartija calma,sustantivo + adjetivo,ANIMAL,ACCION_CONDUCTA; ANIMAL,lagartija; calma,ANIMAL; ACCION_CONDUCTA,[ANIMAL] + [ACCION_CONDUCTA],ANIMALIZAR,asociacion_animal_persona,NINGUNO,2,2,False,True,
miel de abuja,sustantivo + preposición + sustantivo,ALIMENTO,ALIMENTO; PALABRA_DEFORMADA_DUDOSA,miel; abuja,ALIMENTO; PALABRA_DEFORMADA_DUDOSA,[ALIMENTO] + de + [PALABRA_DEFORMADA_DUDOSA],ENCADENAR_CON_DE,combinacion_absurda,NINGUNO,2,3,False,True,
apache gringa,sustantivo + adjetivo,PERSONA,NACIONALIDAD_ORIGEN; PERSONA,apache; gringa,PERSONA; NACIONALIDAD_ORIGEN,[PERSONA] + [NACIONALIDAD_ORIGEN],REFERENCIAR,referencia_popular,NINGUNO,3,2,True,True,
mi querido hiena cabra,pronombre + adjetivo + sustantivo + sustantivo,PERSONA,ANIMAL,mi; querido; hiena; cabra,ANIMAL; ANIMAL,[ANIMAL] + [ANIMAL],ANIMALIZAR,asociacion_animal_persona,MI_QUERIDO,3,4,False,True,
gavilán gored,sustantivo + adjetivo,ANIMAL,ANIMAL; PALABRA_DEFORMADA_DUDOSA,gavilán; gored,ANIMAL; PALABRA_DEFORMADA_DUDOSA,[ANIMAL] + [PALABRA_DEFORMADA_DUDOSA],YUXTAPONER_DIRECTO_SIN_NEXO,combinacion_absurda,NINGUNO,2,3,False,True,
sonrisa de cebra,sustantivo + preposición + sustantivo,ROSTRO,ANIMAL; ROSTRO,sonrisa; cebra,ROSTRO; ANIMAL,[ROSTRO] + de + [ANIMAL],LOCALIZAR,asociacion_animal_persona,NINGUNO,3,2,False,True,
dracula flake,sustantivo + sustantivo,PERSONAJE_POPULAR,PERSONAJE_POPULAR; REFERENTE_DIFUSO,dracula; flake,PERSONAJE_POPULAR; REFERENTE_DIFUSO,[PERSONAJE_POPULAR] + [REFERENTE_DIFUSO],REFERENCIAR,referencia_popular,NINGUNO,3,2,True,True,
mi querido chino ayacuchano,pronombre + adjetivo + sustantivo + adjetivo,PERSONA,NACIONALIDAD_ORIGEN; PERSONA,mi; querido; chino; ayacuchano,PERSONA; NACIONALIDAD_ORIGEN,[PERSONA] + [NACIONALIDAD_ORIGEN],LOCALIZAR,asociacion_geografica,MI_QUERIDO,2,1,False,True,
ojo de caca de loro,sustantivo + preposición + sustantivo + preposición + sustantivo,PARTE_CUERPO,ANIMAL; MATERIAL_SUSTANCIA; PARTE_CUERPO,ojo; de; caca; de; loro,PARTE_CUERPO; MATERIAL_SUSTANCIA; ANIMAL,[PARTE_CUERPO] + de + [MATERIAL_SUSTANCIA] + de + [ANIMAL],ENCADENAR_CON_DE,combinacion_absurda,NINGUNO,3,4,False,True,
barbie de raja de ague,sustantivo + preposición + sustantivo + preposición + sustantivo,PERSONA,EXPRESION_COLOQUIAL; PALABRA_DEFORMADA_DUDOSA; PERSONA,barbie; de; raja; de; ague,PERSONA; EXPRESION_COLOQUIAL; PALABRA_DEFORMADA_DUDOSA,[PERSONA] + de + [EXPRESION_COLOQUIAL] + de + [PALABRA_DEFORMADA_DUDOSA],REFERENCIAR,referencia_popular,NINGUNO,3,2,True,True,
mi queried peinado de coyote,pronombre + adjetivo + sustantivo + preposición + sustantivo,CABELLO_PEINADO,ANIMAL; CABELLO_PEINADO,mi; queried; peinado; de; coyote,CABELLO_PEINADO; ANIMAL,[CABELLO_PEINADO] + de + [ANIMAL],ANIMALIZAR,asociacion_animal_persona,MI_QUERIDO,2,3,False,True,
japanesa andina,adjetivo + adjetivo,PERSONA,GEOGRAFIA; NACIONALIDAD_ORIGEN,japanesa; andina,NACIONALIDAD_ORIGEN; GEOGRAFIA,[NACIONALIDAD_ORIGEN] + [GEOGRAFIA],LOCALIZAR,asociacion_geografica,NINGUNO,2,1,False,True,
mi querido jefe perro,pronombre + adjetivo + sustantivo + sustantivo,PERSONA,ANIMAL; PERSONA,mi; querido; jefe; perro,PERSONA; ANIMAL,[PERSONA] + [ANIMAL],ANIMALIZAR,asociacion_animal_persona,MI_QUERIDO,2,2,False,True,
mi queried melon diego,pronombre + adjetivo + sustantivo + sustantivo,ALIMENTO,ALIMENTO; PERSONA,mi; queried; melon; diego,ALIMENTO; PERSONA,[ALIMENTO] + [PERSONA],YUXTAPONER_DIRECTO_SIN_NEXO,combinacion_absurda,MI_QUERIDO,3,4,False,True,
elefante de cotonou,sustantivo + preposición + sustantivo,ANIMAL,ANIMAL; LUGAR,elefante; de; cotonou,ANIMAL; LUGAR,[ANIMAL] + de + [LUGAR],LOCALIZAR,asociacion_geografica,NINGUNO,2,1,False,True,
chema ciento basura con permanente,sustantivo + adjetivo + sustantivo + preposición + sustantivo,PERSONA,MATERIAL_SUSTANCIA; OBJETO; PALABRA_DEFORMADA_DUDOSA; PERSONA,chema; ciento; basura; con; permanente,PERSONA; PALABRA_DEFORMADA_DUDOSA; OBJETO; MATERIAL_SUSTANCIA,[PERSONA] + [PALABRA_DEFORMADA_DUDOSA] + [OBJETO] + con + [MATERIAL_SUSTANCIA],COMPONER_CON_NEXO_CON,combinacion_absurda,NINGUNO,3,4,False,True,
meteorito con lentes,sustantivo + preposición + sustantivo,OBJETO_CELESTE,ACCESORIO; OBJETO_CELESTE,meteorito; con; lentes,OBJETO_CELESTE; ACCESORIO,[OBJETO_CELESTE] + con + [ACCESORIO],COMPONER_CON_NEXO_CON,combinacion_absurda,NINGUNO,3,3,False,True,
rana cejona,sustantivo + adjetivo,ANIMAL,ANIMAL; RASGO_APARIENCIA,rana; cejona,ANIMAL; RASGO_APARIENCIA,[ANIMAL] + [RASGO_APARIENCIA],COMPARAR,asociacion_animal_persona,NINGUNO,2,2,False,True,
cabra vieja,sustantivo + adjetivo,ANIMAL,ANIMAL; RASGO_APARIENCIA,cabra; vieja,ANIMAL; RASGO_APARIENCIA,[ANIMAL] + [RASGO_APARIENCIA],COMPARAR,asociacion_animal_persona,NINGUNO,2,2,False,True,
abuelita de satanás,sustantivo + preposición + nombre propio,PERSONA,PERSONA; PERSONAJE_MITICO,abuelita; satanás,PERSONA; PERSONAJE_MITICO,[PERSONA] + de + [PERSONAJE_MITICO],REFERENCIAR,referencia_popular,NINGUNO,3,3,True,True,
mamá del anticristo,sustantivo + preposición + artículo + nombre propio,PERSONA,PERSONA; PERSONAJE_MITICO,mamá; anticristo,PERSONA; PERSONAJE_MITICO,[PERSONA] + del + [PERSONAJE_MITICO],REFERENCIAR,referencia_popular,NINGUNO,3,3,True,True,
a cinde le dicen costal de papas,preposición + sustantivo + pronombre + verbo + sustantivo + preposición + sustantivo,PERSONA,ALIMENTO,cinde; costal; papas,ALIMENTO; ALIMENTO,[ALIMENTO] + de + [ALIMENTO],ATRIBUIR_VIA_FORMULA_DISCURSIVA,combinacion_absurda,FORMULA_LE_DICEN,3,4,False,True,
a melcocha le dicen hormigabieja,preposición + sustantivo + pronombre + verbo + sustantivo,PERSONA,ANIMAL,melcocha; hormigabieja,ANIMAL,[ANIMAL],ANIMALIZAR,asociacion_animal_persona,FORMULA_LE_DICEN,3,3,False,True,
a cindy le dicen rocola,preposición + sustantivo + pronombre + verbo + sustantivo,PERSONA,OBJETO,cindy; rocola,OBJETO,[OBJETO],COSIFICAR,asociacion_objeto_persona,FORMULA_LE_DICEN,3,3,False,True,
a sidney le dicen pavo de navidad,preposición + sustantivo + pronombre + verbo + sustantivo + preposición + sustantivo,PERSONA,ALIMENTO; ANIMAL,sidney; pavo; navidad,ANIMAL; ALIMENTO,[ANIMAL] + de + [ALIMENTO],ANIMALIZAR,asociacion_animal_persona,FORMULA_LE_DICEN,3,3,False,True,
a melcochita le dicen jaula abandonada,preposición + sustantivo + pronombre + verbo + sustantivo + adjetivo,PERSONA,OBJETO; RASGO_APARIENCIA,melcochita; jaula; abandonada,OBJETO; RASGO_APARIENCIA,[OBJETO] + [RASGO_APARIENCIA],ATRIBUIR_VIA_FORMULA_DISCURSIVA,combinacion_absurda,FORMULA_LE_DICEN,3,4,False,True,
los gemelos un par de chupacabras,artículo + sustantivo + artículo + sustantivo + preposición + sustantivo,PERSONA,ANIMAL; PERSONA,gemelos; chupacabras,PERSONA; ANIMAL,los + [PERSONA] + un par de + [ANIMAL],ANIMALIZAR,asociacion_animal_persona,NINGUNO,3,3,False,True,
perro viejo,sustantivo + adjetivo,ANIMAL,ANIMAL; RASGO_APARIENCIA,perro; viejo,ANIMAL; RASGO_APARIENCIA,[ANIMAL] + [RASGO_APARIENCIA],COMPARAR,asociacion_animal_persona,NINGUNO,2,1,False,True,
garrapata vieja,sustantivo + adjetivo,ANIMAL,ANIMAL; RASGO_APARIENCIA,garrapata; vieja,ANIMAL; RASGO_APARIENCIA,[ANIMAL] + [RASGO_APARIENCIA],COMPARAR,asociacion_animal_persona,NINGUNO,2,1,False,True,
don cochote,sustantivo + sustantivo,PERSONA,PERSONA; PERSONAJE_POPULAR,don; cochote,PERSONA; PERSONAJE_POPULAR,[PERSONA] + [PERSONAJE_POPULAR],REFERENCIAR,referencia_popular,NINGUNO,3,2,True,True,
